OFNS_DESC,Latitude,Longitude
OFFENSES AGAINST PUBLIC ADMINI,40.623226819,-74.149226973
OFF. AGNST PUB ORD SENSBLTY &,40.581465769,-74.100162106
HARRASSMENT 2,40.636256697,-74.07601410699999
HARRASSMENT 2,40.614782068000004,-74.083049279
THEFT-FRAUD,40.627150693000004,-74.07830214100001
VEHICLE AND TRAFFIC LAWS,40.62657078,-74.16084527699999
SEX CRIMES,40.644726131,-74.077483159
PETIT LARCENY,40.634212709,-74.09997105800001
ASSAULT 3 & RELATED OFFENSES,40.647128347,-74.08818142300001
PETIT LARCENY,40.552807071,-74.17023975
PETIT LARCENY,40.635225033000005,-74.106641643
OFFENSES AGAINST PUBLIC ADMINI,40.637495423000004,-74.134954656
ADMINISTRATIVE CODE,40.634768068,-74.07744277399999
MISCELLANEOUS PENAL LAW,40.595753238,-74.07791244100001
INTOXICATED & IMPAIRED DRIVING,40.62026295,-74.130777343
PETIT LARCENY,40.553011019,-74.171524945
PETIT LARCENY,40.545032276,-74.16561797899999
HARRASSMENT 2,40.639536936,-74.087303024
HARRASSMENT 2,40.607669494,-74.12105391899999
MISCELLANEOUS PENAL LAW,40.644095031999996,-74.081168738
FRAUDS,40.624981386,-74.08351227
VEHICLE AND TRAFFIC LAWS,40.592794956999995,-74.06832042100001
HARRASSMENT 2,40.611357078000005,-74.132308614
ADMINISTRATIVE CODE,40.637614187,-74.138943513
ROBBERY,40.586586167,-74.09199703600001
MISCELLANEOUS PENAL LAW,40.586077766,-74.102451614
ASSAULT 3 & RELATED OFFENSES,40.616239224,-74.087200514
PETIT LARCENY,40.565526538,-74.127945595
PETIT LARCENY,40.591945263,-74.09385513699999
HARRASSMENT 2,40.556355153,-74.199801372
CRIMINAL MISCHIEF & RELATED OF,40.517709531,-74.240543585
FELONY ASSAULT,40.6328107,-74.158143785
HARRASSMENT 2,40.636247925,-74.110516514
